Meme Name,Primary Audience,Humor Style,Keywords
Geordi Drake,Millennials,Witty,"['comparison', 'preference', 'Star Trek', 'TV show', 'Drake']"
George Bush 9 11,Young Adults,Sarcastic,"['politics', 'tragedy', 'president', '9/11', 'controversy']"
Get in Loser We re Going Shopping,Millennials,Relatable,"['shopping', 'movie quote', 'Mean Girls', 'friendship', 'spontaneity']"
Giant vs man,Gen Z,Absurd,"['comparison', 'underdog', 'challenge', 'size difference', 'battle']"
Gigachad vs virgin,Young Adults,Cringe,"['comparison', 'masculinity', 'internet culture', 'stereotypes', 'extremes']"
Girl Putting Tuba on Girl s Head,Students,Absurd,"['prank', 'music', 'unexpected', 'school', 'funny']"
girl running,General Public,Relatable,"['escape', 'chase', 'panic', 'hurry', 'stress']"
Going to need a bigger boat,Professionals,Sarcastic,"['underprepared', 'challenge', 'overwhelmed', 'movie quote', 'unexpected problem']"
Gollum,General Public,Witty,"['obsession', 'desire', 'fantasy', 'movie character', 'greed']"
Good Fellas Hilarious,Young Adults,Sarcastic,"['laughter', 'irony', 'mockery', 'movie scene', 'gangsters']"
Goose Chase,General Public,Absurd,"['pursuit', 'chaos', 'animals', 'funny', 'confusion']"
gotta be one of my favorite genders,Gen Z,Witty,"['gender', 'identity', 'diversity', 'acceptance', 'modern']"
Go and get the guitar,General Public,Relatable,"['music', 'entertainment', 'party', 'talent', 'show-off']"
Go Fund Me,Young Adults,Sarcastic,"['crowdfunding', 'money', 'donation', 'financial help', 'internet culture']"
Grandma Finds The Internet,Parents,Relatable,"['technology', 'confusion', 'generation gap', 'internet', 'elderly']"
Grandpa Simpson Hat,General Public,Witty,"['exit', 'avoidance', 'cartoon', 'awkward situation', 'disappearance']"
Grant Gustin over grave,Young Adults,Sarcastic,"['mourning', 'loss', 'television scene', 'drama', 'regret']"
Gravestone,General Public,Sarcastic,"['death', 'end', 'final', 'mortality', 'epitaph']"
Greedy Pipe Man,General Public,Absurd,"['greed', 'excess', 'gluttony', 'funny', 'cartoon']"
Grim Reaper Claw Machine,General Public,Witty,"['death', 'game', 'chance', 'fate', 'unpredictable']"
Grim Reaper Knocking Door,General Public,Sarcastic,"['death', 'surprise', 'fear', 'unexpected', 'grim']"
Grumpy Cat,General Public,Sarcastic,"['animal', 'displeasure', 'grumpy', 'cat', 'mood']"
Gru Gun,Young Adults,Absurd,"['threat', 'cartoon', 'weapon', 'humor', 'danger']"
GTA 5 Franklin and his dog Chop,Gamers,Relatable,"['video game', 'friendship', 'dog', 'adventure', 'companion']"
Guess I ll die,General Public,Sarcastic,"['resignation', 'defeat', 'hopeless', 'surrender', 'despair']"
Gunna Fire Writing,Millennials,Witty,"['creative', 'irony', 'danger', 'unexpected', 'writing']"
Gus Fring we are not the same,Young Adults,Sarcastic,"['superiority', 'difference', 'disagreement', 'assertive', 'conflict']"
Guy in corner of party,Gen Z,Relatable,"['introvert', 'social anxiety', 'party', 'isolation', 'awkwardness']"
Guy in the suit,Professionals,Sarcastic,"['business', 'formal', 'professional', 'corporate', 'irony']"
Guy posing in front of grave,Gen Z,Absurd,"['death', 'insensitivity', 'pose', 'disrespect', 'shock']"
Guy recording a fight,Gen Z,Cringe,"['voyeurism', 'conflict', 'indifference', 'spectator', 'violence']"
Guy smoking while two people fight,Young Adults,Sarcastic,"['indifference', 'conflict', 'relaxation', 'irony', 'disinterest']"
Guy talking to girl in club,Young Adults,Relatable,"['flirting', 'miscommunication', 'nightlife', 'attraction', 'conversation']"
Guy tapping head,Millennials,Witty,"['smart', 'idea', 'strategy', 'intelligence', 'solution']"
Hand clasping,General Public,Wholesome,"['unity', 'agreement', 'cooperation', 'friendship', 'solidarity']"
Hans Landa hiding enemies of the state,Professionals,Witty,"['deception', 'danger', 'suspense', 'intrigue', 'secrecy']"
Happy dolphin rainbow,General Public,Wholesome,"['joy', 'nature', 'beauty', 'positivity', 'happiness']"
Happy sad,Gen Z,Relatable,"['emotion', 'confusion', 'duality', 'feelings', 'contrast']"
Happy Star Congratulations,Parents,Wholesome,"['celebration', 'achievement', 'congratulations', 'joy', 'recognition']"
Happy Shock,Young Adults,Absurd,"['surprise', 'joy', 'unexpected', 'reaction', 'astonishment']"
Hard To Swallow Pills,Millennials,Sarcastic,"['truth', 'acceptance', 'reality', 'medicine', 'denial']"
Hector,Gamers,Absurd,"['character', 'video game', 'adventure', 'fantasy', 'roleplay']"
help me obi wan,Millennials,Witty,"['sci-fi', 'help', 'desperation', 'Star Wars', 'plea']"
Here it comes,Gen Z,Absurd,"['anticipation', 'surprise', 'expectation', 'excitement', 'foreboding']"
Here Lies Spongebob Tombstone,Gen Z,Cringe,"['death', 'cartoon', 'Spongebob', 'end', 'grave']"
Here s Johnny,General Public,Absurd,"['horror', 'movie reference', 'surprise', 'intensity', 'fear']"
Here we go again,Millennials,Relatable,"['repetition', 'frustration', 'resignation', 'cycle', 'routine']"
he man skeleton advices,Gen Z,Witty,"['cartoon', 'advice', 'sarcasm', 'retro', 'wisdom']"
He s probably thinking about girls,Young Adults,Sarcastic,"['relationship', 'misunderstanding', 'gender stereotype', 'distraction', 'daydreaming']"
He was a boy  she was a girl,Millennials,Relatable,"['song lyrics', 'romance', 'miscommunication', 'simplicity', 'misunderstanding']"
Hide the Pain Harold,Millennials,Relatable,"['discomfort', 'pretense', 'smiling', 'pain', 'denial']"
Hold fart,Gen Z,Cringe,"['awkward', 'embarrassment', 'tension', 'self-control', 'anxiety']"
Homer disappears into bush,Millennials,Relatable,"['escape', 'avoidance', 'disappearance', 'awkwardness', 'cartoon']"
Homer Simpson sleeping peacefully,Millennials,Relatable,"['relaxation', 'peace', 'ignorance', 'bliss', 'cartoon']"
honey it s time to x,Young Adults,Wholesome,"['routine', 'couple', 'reminder', 'task', 'home life']"
Horse Drawing,Gen Z,Witty,"['progress', 'effort', 'comparison', 'creativity', 'disappointment']"
How could they have done this,Gen Z,Sarcastic,"['outrage', 'disbelief', 'betrayal', 'drama', 'exaggeration']"
huell money,Young Adults,Absurd,"['wealth', 'excitement', 'greed', 'tv show reference', 'satisfaction']"
Hulk,Gamers,Absurd,"['strength', 'anger', 'transformation', 'comic', 'superhero']"
Hulk Taco,General Public,Witty,"['food', 'generosity', 'comic', 'superhero', 'kindness']"
hypnosis,General Public,Absurd,"['control', 'illusion', 'trance', 'manipulation', 'power']"
Hypnotize,General Public,Absurd,"['trance', 'control', 'suggestion', 'manipulation', 'mesmerize']"
iceberg,Students,Witty,"['hidden', 'depth', 'discovery', 'mystery', 'danger']"
if i had a nickel for everytime,Millennials,Sarcastic,"['repetition', 'frustration', 'rich', 'annoyance', 'common']"
Illusion of free choice,Professionals,Sarcastic,"['decision', 'control', 'manipulation', 'freedom', 'illusion']"
Imagination Spongebob,Gen Z,Absurd,"['fantasy', 'exaggeration', 'spongebob', 'imagination', 'cartoon', 'dreaming', 'ironic', 'mockery']"
Impractical Jokers,Young Adults,Relatable,"['pranks', 'tv show', 'reality', 'challenges', 'comedy', 'friendship', 'awkward situations']"
Impressive very nice,General Public,Sarcastic,"['approval', 'sarcasm', 'mockery', 'compliment', 'irony', 'exaggeration']"
Im gonna say it,Gen Z,Witty,"['declaration', 'boldness', 'confession', 'revelation', 'shock', 'surprise']"
Insane Peter,Millennials,Absurd,"['madness', 'cartoon', 'family guy', 'overreaction', 'crazy', 'exaggeration']"
Interstellar Smoking,Young Adults,Absurd,"['space', 'smoking', 'interstellar', 'movie scene', 'irony', 'paradox']"
"In terms of money, we have no money",Students,Relatable,"['poverty', 'broke', 'moneyless', 'financial struggle', 'irony', 'reality']"
is calling you,General Public,Witty,"['phone call', 'communication', 'attention', 'disturbance', 'urgent', 'surprise']"
Is Fortnite Actually Overrated,Gamers,Sarcastic,"['gaming', 'fortnite', 'debate', 'controversy', 'opinion', 'overrated']"
Is this a bird,Gen Z,Absurd,"['confusion', 'misinterpretation', 'cartoon', 'animals', 'ignorance', 'mistake']"
is this butterfly,Gen Z,Absurd,"['confusion', 'misinterpretation', 'cartoon', 'insects', 'ignorance', 'mistake']"
Its Not Going To Happen,Millennials,Sarcastic,"['denial', 'rejection', 'disappointment', 'impossibility', 'hopeless', 'unrealistic']"
"It ain't much, but it's honest work",Young Adults,Wholesome,"['hard work', 'modesty', 'satisfaction', 'humble', 'appreciation', 'contentment']"
It can't hurt you,Gen Z,Sarcastic,"['fear', 'denial', 'reassurance', 'mockery', 'irony', 'disbelief']"
It's been 84 years,Millennials,Relatable,"['time', 'waiting', 'longevity', 'patience', 'exaggeration', 'age']"
I am going to create an environment that is so toxic,Young Adults,Sarcastic,"['toxicity', 'environment', 'hostility', 'conflict', 'irony', 'threat']"
I am once again asking,General Public,Relatable,"['request', 'repetition', 'begging', 'persistence', 'pleading', 'politician']"
I am the one who knocks,Young Adults,Witty,"['confidence', 'dominance', 'threat', 'intimidation', 'power', 'control']"
I believe in supremacy,Professionals,Sarcastic,"['belief', 'supremacy', 'superiority', 'confidence', 'dominance', 'control']"
I Bet He's Thinking About Other Women,Young Adults,Relatable,"['jealousy', 'misunderstanding', 'relationship', 'assumption', 'thoughts', 'distrust']"
I can has cheezburger cat,General Public,Absurd,"['cats', 'cheeseburger', 'funny animals', 'cute', 'internet culture']"
i don t always,Young Adults,Sarcastic,"['dos equis', 'sophistication', 'irony', 'exaggeration', 'rarity']"
I don t care if you win  I just need X to lose,Young Adults,Relatable,"['competition', 'schadenfreude', 'rivalry', 'loss', 'winning']"
I don t think about you at all Mad Men,Professionals,Witty,"['indifference', 'dismissal', 'retro', 'confidence', 'drama']"
I don t want to play with you anymore,Gen Z,Relatable,"['toys', 'rejection', 'childhood', 'disinterest', 'animation']"
I hate the Antichrist,Millennials,Absurd,"['supernatural', 'demon', 'horror', 'paranormal', 'hatred']"
I just think they re neat,General Public,Wholesome,"['simplicity', 'appreciation', 'innocence', 'joy', 'enthusiasm']"
I ll Just Wait Here,Students,Sarcastic,"['waiting', 'patience', 'frustration', 'loneliness', 'delay']"
I love the smell of napalm in the morning,Professionals,Witty,"['war', 'morning', 'smell', 'irony', 'movie quotes']"
I m in Danger   blank place above,Gen Z,Relatable,"['danger', 'anxiety', 'risk', 'cartoon', 'fear']"
I m The Captain Now,Young Adults,Sarcastic,"['leadership', 'authority', 'control', 'power', 'dominance']"
I m tired boss,Professionals,Relatable,"['exhaustion', 'work', 'stress', 'fatigue', 'overworked']"
I said we sad today,Gen Z,Relatable,"['sadness', 'emotions', 'mood', 'depression', 'melancholy']"
I See Dead People,Millennials,Cringe,"['supernatural', 'horror', 'fear', 'paranormal', 'movie quotes']"
I Should Buy A Boat Cat,Millennials,Wholesome,"['cats', 'daydreaming', 'aspiration', 'funny animals', 'decisions']"
i sleep real shit,Gen Z,Sarcastic,"['indifference', 'sleep', 'disinterest', 'apathy', 'unimpressed']"
I think I forgot something,Students,Relatable,"['forgetfulness', 'anxiety', 'stress', 'memory', 'mistake']"
I think i might miss my wife  blank,Young Adults,Cringe,"['longing', 'relationship', 'absence', 'love', 'missing']"
I ve only had Arlo for a day and a half,General Public,Wholesome,"['attachment', 'pets', 'love', 'care', 'quick bond']"
I Was Told There Would Be,Professionals,Sarcastic,"['expectation', 'disappointment', 'anticipation', 'misinformation', 'promise']"
I wish all x a very y,Gen Z,Sarcastic,"['wishes', 'irony', 'customizable', 'reaction', 'mockery']"
Jack Sparrow Being Chased,General Public,Absurd,"['chase', 'overwhelm', 'Pirates of the Caribbean', 'panic', 'escape']"
Jack Torrance axe shining,Young Adults,Absurd,"['horror', 'The Shining', 'surprise', 'intrusion', 'intensity']"
James Franco First Time,Millennials,Sarcastic,"['novice', 'experience', 'mockery', 'initiation', 'naivety']"
Jarvis,Gamers,Witty,"['AI', 'Iron Man', 'technology', 'command', 'response']"
Jarvis Template,Gamers,Witty,"['AI', 'Iron Man', 'technology', 'command', 'response']"
Jason Momoa Henry Cavill Meme,Young Adults,Relatable,"['celebrities', 'friendship', 'contrast', 'admiration', 'interaction']"
Jay Inbetweeners Completed It,Millennials,Sarcastic,"['achievement', 'bragging', 'overconfidence', 'exaggeration', 'boasting']"
Jealous Girlfriend,Young Adults,Relatable,"['jealousy', 'relationship', 'distraction', 'desire', 'betrayal']"
Jesse WTF are you talking about,Millennials,Sarcastic,"['confusion', 'misunderstanding', 'Breaking Bad', 'disbelief', 'ridicule']"
jesus watcha doin,General Public,Wholesome,"['Jesus', 'curiosity', 'innocence', 'question', 'spiritual']"
Jim Halpert Explains,Professionals,Witty,"['explanation', 'The Office', 'sarcasm', 'presentation', 'clarification']"
Jim Halpert Pointing to Whiteboard,Professionals,Witty,"['presentation', 'The Office', 'pointing', 'explanation', 'instruction']"
John Cena confuses,General Public,Absurd,"['confusion', 'John Cena', 'misunderstanding', 'surprise', 'bewilderment']"
John Daly and Tiger Woods,General Public,Relatable,"['golf', 'celebrities', 'contrast', 'comparison', 'sports']"
Jojo s Walk,Gen Z,Absurd,"['anime', ""Jojo's Bizarre Adventure"", 'dramatic', 'entrance', 'swagger']"
Judgemental Volturi,Millennials,Sarcastic,"['Twilight', 'judgment', 'disapproval', 'superiority', 'criticism']"
Jump on Rake,General Public,Absurd,"['accident', 'surprise', 'pain', 'mistake', 'slapstick']"
Keep Calm And Carry On Red,Professionals,Wholesome,"['motivation', 'calmness', 'perseverance', 'encouragement', 'resilience']"
Kermit sipping tea,Millennials,Sarcastic,"['judgment', 'Kermit', 'tea', 'gossip', 'indifference']"
kermit window,Millennials,Sarcastic,"['reflection', 'introspection', 'duality', 'self-talk', 'inner thoughts']"
Kirby eating,Gamers,Absurd,"['consumption', 'absorption', 'overwhelm', 'video game', 'excess']"
Knights of the Round Table,General Public,Witty,"['discussion', 'medieval', 'decision-making', 'group', 'debate']"
Knight with arrow in helmet,General Public,Absurd,"['resilience', 'injury', 'denial', 'stubbornness', 'perseverance']"
Kombucha Girl,Gen Z,Relatable,"['reaction', 'disgust', 'surprise', 'uncertainty', 'taste test']"
Kong Godzilla Doge,Gamers,Absurd,"['conflict', 'power', 'dominance', 'battle', 'video game']"
Kratos and my life is yours,Gamers,Wholesome,"['devotion', 'sacrifice', 'loyalty', 'video game', 'commitment']"
Kurt Angle Stare,Young Adults,Sarcastic,"['disbelief', 'judgment', 'surprise', 'wrestling', 'shock']"
Kylo Ren MORE,General Public,Absurd,"['demand', 'excess', 'impatience', 'Star Wars', 'greed']"
laughing kid,Parents,Wholesome,"['joy', 'innocence', 'happiness', 'childhood', 'laughter']"
Laughing Leo,Millennials,Sarcastic,"['amusement', 'mockery', 'superiority', 'celebrity', 'laughter']"
Laughing Men In Suits,Professionals,Sarcastic,"['mockery', 'elitism', 'corporate', 'businessmen', 'laughter']"
Laughing wolf,General Public,Witty,"['amusement', 'nature', 'animal', 'laughter', 'irony']"
La Roca  Ayer Vino,Spanish Speakers,Relatable,"['misunderstanding', 'language', 'celebrity', 'confusion', 'word play']"
Lebron James Reportedly forgot to,Sports Fans,Sarcastic,"['forgetfulness', 'basketball', 'celebrity', 'mistake', 'news']"
Left Exit 12 Off Ramp,Millennials,Relatable,"['panic', 'last minute', 'change', 'driving', 'decision']"
Leonardo Dicaprio Cheers,Millennials,Witty,"['celebration', 'acknowledgement', 'toast', 'celebrity', 'appreciation']"
Leonardo Dicaprio pointing at tv,Millennials,Relatable,"['recognition', 'surprise', 'celebrity', 'realization', 'TV show']"
Leonardo DiCaprio throwing Money,Millennials,Sarcastic,"['wealth', 'disregard', 'celebrity', 'spending', 'excess']"
let me in,Young Adults,Absurd,"['frustration', 'exclusion', 'desperation', 'access', 'denial']"
let s see paul allen s card,Professionals,Sarcastic,"['competition', 'professional rivalry', 'envy', 'comparison', 'superiority']"
Licking lips,General Public,Relatable,"['anticipation', 'desire', 'excitement', 'hunger', 'temptation']"
Lion king yeet,Gen Z,Absurd,"['throwing', 'disregard', 'surprise', 'cartoon', 'disbelief']"
Lisa Simpson s Presentation,Students,Relatable,"['presentation', 'opinion', 'explanation', 'argument', 'cartoon']"
Live reaction,General Public,Witty,"['reaction', 'surprise', 'disbelief', 'real-time', 'expression']"
Looks like meat s back on the menu boys,General Public,Sarcastic,"['food', 'celebration', 'excitement', 'return', 'joy']"
Look At Me,Young Adults,Sarcastic,"['attention', 'dominance', 'control', 'assertiveness', 'command']"
Look What They Need To Mimic A Fraction Of Our Power,Gamers,Sarcastic,"['power', 'imitation', 'superiority', 'mockery', 'comparison']"
Lord of the Rings Meat s back on the menu,General Public,Sarcastic,"['food', 'celebration', 'excitement', 'return', 'movie quote']"
madness this is sparta,Young Adults,Absurd,"['defiance', 'rebellion', 'anger', 'strength', 'movie quote']"
Mahatma Gandhi Rocks,Students,Wholesome,"['inspiration', 'peace', 'leadership', 'history', 'wisdom']"
Make your own meme,General Public,Witty,"['creativity', 'originality', 'humor', 'personalization', 'expression']"
Manly Handshake,Professionals,Witty,"['strength', 'agreement', 'respect', 'masculinity', 'power']"
Man giving sword to larger man,Gamers,Absurd,"['power', 'surrender', 'dominance', 'respect', 'submission']"
Man Holding Cardboard Sign,Young Adults,Relatable,"['protest', 'message', 'statement', 'opinion', 'public']"
Marked Safe From,General Public,Sarcastic,"['safety', 'relief', 'survival', 'crisis', 'irony']"
math is math,Students,Relatable,"['frustration', 'confusion', 'learning', 'education', 'logic']"
Matrix Morpheus,Millennials,Witty,"['choice', 'reality', 'philosophy', 'truth', 'movie quote']"
Maybe i am a monster blank,Young Adults,Absurd,"['identity', 'self-reflection', 'realization', 'confession', 'drama']"
McDonald s Happy Meal Dance Gif,Gen Z,Wholesome,"['joy', 'celebration', 'food', 'dance', 'happiness']"
megamind no b,Gen Z,Absurd,"['rejection', 'disapproval', 'animation', 'humorous', 'cartoon', 'surprise', 'dismissal']"
Mental Gymnastics,Professionals,Sarcastic,"['logic', 'complexity', 'argument', 'reasoning', 'twisted', 'ironic']"
Men Discussing Men Fighting,Young Adults,Relatable,"['debate', 'conflict', 'discussion', 'violence', 'misunderstanding', 'irony']"
Metronome,Students,Witty,"['rhythm', 'music', 'timing', 'consistency', 'repetition', 'precision']"
Me And The Boys,Gen Z,Wholesome,"['friendship', 'fun', 'group', 'comradery', 'nostalgia', 'comic characters']"
Me explaining to my mom,Gen Z,Relatable,"['communication', 'misunderstanding', 'generation gap', 'frustration', 'explanation']"
Michael Jackson popcorn gif,Millennials,Witty,"['anticipation', 'spectator', 'entertainment', 'celebrity', 'watching', 'drama']"
Midwit memes,Professionals,Sarcastic,"['intelligence', 'mediocrity', 'irony', 'mockery', 'average', 'sarcasm']"
milking the cow,General Public,Sarcastic,"['exploitation', 'overuse', 'exhaustion', 'repetition', 'profit', 'greed']"
Milk Girls,Young Adults,Absurd,"['strange', 'bizarre', 'milk', 'girls', 'random', 'nonsense']"
minions,Parents,Wholesome,"['funny', 'cute', 'animation', 'humorous', 'family', 'children']"
Minion in dark forest,Gen Z,Absurd,"['adventure', 'danger', 'fear', 'minion', 'darkness', 'mystery']"
Mocking Spongebob,Gen Z,Sarcastic,"['mockery', 'imitation', 'spongebob', 'disrespect', 'sarcasm', 'cartoon']"
Moe throws Barney,Millennials,Relatable,"['rejection', 'dismissal', 'bar', 'cartoon', 'humor', 'repetition']"
Mom can we have,Gen Z,Relatable,"['desire', 'substitute', 'request', 'rejection', 'family', 'comparison']"
money smell,Young Adults,Sarcastic,"['wealth', 'greed', 'money', 'arrogance', 'luxury', 'snob']"
Monkey looking away,General Public,Wholesome,"['avoidance', 'ignorance', 'shyness', 'awkward', 'cute', 'humor']"
Monkey Puppet,Gen Z,Relatable,"['awkward', 'avoidance', 'guilt', 'uncomfortable', 'puppet', 'monkey']"
Monster Inc  Walking,Gen Z,Absurd,"['silly', 'animation', 'walking', 'monster', 'funny', 'absurd']"
More likely than you think,Young Adults,Witty,"['probability', 'surprise', 'expectation', 'irony', 'likelihood', 'sarcasm']"
Morgan Freeman,General Public,Witty,"['Narration', 'Wisdom', 'Celebrity', 'Voice', 'Serious']"
morpheus matrix blue pill red pill,Millennials,Sarcastic,"['Choice', 'Reality', 'Illusion', 'Matrix', 'Philosophy']"
Mother Ignoring Kid Drowning In A Pool,Young Adults,Cringe,"['Negligence', 'Distraction', 'Parenting', 'Irony', 'Danger']"
Mr bean copying,General Public,Relatable,"['Copying', 'Exams', 'School', 'Cheating', 'Comedy']"
Mr incredible mad,General Public,Absurd,"['Anger', 'Frustration', 'Superhero', 'Power', 'Family']"
Mr Krabs Blur Meme,Gen Z,Absurd,"['Confusion', 'Blurry', 'Cartoon', 'Panic', 'Sudden']"
Mr T Pity The Fool,Millennials,Sarcastic,"['Pity', 'Fool', 'Celebrity', 'Catchphrase', 'Tough']"
Mr  McMahon reaction,Professionals,Witty,"['Surprise', 'Shock', 'Reaction', 'Wrestling', 'Exaggeration']"
My body is machine,Young Adults,Relatable,"['Fitness', 'Exercise', 'Determination', 'Health', 'Machine']"
My child will,Parents,Wholesome,"['Parenting', 'Expectations', 'Children', 'Futuristic', 'Dreams']"
My job here is done,Professionals,Sarcastic,"['Work', 'Completion', 'Satisfaction', 'Departure', 'Task']"
my sister s wedding,Young Adults,Relatable,"['Wedding', 'Family', 'Celebration', 'Siblings', 'Event']"
Nah I d Win,Gamers,Witty,"['Competition', 'Victory', 'Confidence', 'Challenge', 'Gaming']"
Nah yeah,Gen Z,Sarcastic,"['Confusion', 'Agreement', 'Disagreement', 'Slang', 'Indecision']"
Narcos waiting,Young Adults,Relatable,"['Waiting', 'Patience', 'Time', 'Suspense', 'TV Show']"
Naruto Handshake Meme Template,Gamers,Absurd,"['Anime', 'Friendship', 'Handshake', 'Unity', 'Naruto']"
Natalie Portman,Millennials,Witty,"['Celebrity', 'Actress', 'Beauty', 'Hollywood', 'Star']"
Needs More Cowbell,General Public,Absurd,"['Music', 'Cowbell', 'Comedy', 'SNL', 'Catchphrase']"
Nemo Seagulls Mine,General Public,Absurd,"['Seagulls', 'Possession', 'Repetition', 'Cartoon', 'Nemo']"
neo dodging a bullet matrix,Millennials,Sarcastic,"['Dodging', 'Matrix', 'Bullet', 'Avoidance', 'Action']"
Never ask a woman her age,General Public,Sarcastic,"['taboo', 'age', 'woman', 'question', 'sensitivity']"
Never give up,Young Adults,Wholesome,"['perseverance', 'motivation', 'encouragement', 'resilience', 'determination']"
News Headline,General Public,Witty,"['news', 'headline', 'media', 'current events', 'journalism']"
Nick Young,Gen Z,Cringe,"['confusion', 'doubt', 'question', 'basketball', 'celebrity']"
NONONOWAITWAITWAIT,Gen Z,Absurd,"['panic', 'anxiety', 'hurry', 'chaos', 'stress']"
Normal and dark mr incredibles,Millennials,Relatable,"['contrast', 'change', 'superhero', 'alter ego', 'duality']"
Normal Distribution meme,Students,Witty,"['statistics', 'mathematics', 'distribution', 'bell curve', 'data']"
Note passing,Students,Relatable,"['communication', 'secret', 'school', 'message', 'childhood']"
Not sure if  fry,Millennials,Sarcastic,"['doubt', 'confusion', 'uncertainty', 'futurama', 'cartoon']"
Now That s What I Call,Millennials,Witty,"['music', 'album', 'nostalgia', 'pop culture', 'compilation']"
No Fear One Fear,Gen Z,Relatable,"['fear', 'anxiety', 'contrast', 'phobia', 'irony']"
No Soup For You,Millennials,Sarcastic,"['denial', 'food', 'seinfeld', 'tv show', 'catchphrase']"
No Take  Only Throw,General Public,Wholesome,"['dog', 'play', 'fetch', 'pet', 'fun']"
No yes lady,Millennials,Absurd,"['confusion', 'contradiction', 'woman', 'reaction', 'expression']"
No   Yes,General Public,Sarcastic,"['contradiction', 'agreement', 'disagreement', 'confusion', 'ambiguity']"
npc crowd,Gamers,Witty,"['gaming', 'crowd', 'non-playable characters', 'repetition', 'uniformity']"
NPC Meme,Gamers,Absurd,"['gaming', 'non-playable character', 'expressionless', 'robotic', 'monotony']"
Nyan Cat,Gen Z,Absurd,"['cat', 'rainbow', 'internet culture', 'music', 'animation']"
obama medal,Young Adults,Sarcastic,"['award', 'recognition', 'self-praise', 'politics', 'president']"
Objects in mirror are closer than they appear,General Public,Witty,"['mirror', 'reflection', 'warning', 'perception', 'reality']"
Office Space Bill Lumbergh,Professionals,Sarcastic,"['work', 'boss', 'management', 'office', 'annoyance', 'demand', 'task', 'corporate']"
Oh dear  dear gorgeus,Gen Z,Sarcastic,"['mockery', 'superiority', 'condescension', 'disbelief', 'smug']"
Oh no anyway,Gen Z,Sarcastic,"['indifference', 'disinterest', 'apathy', 'dismissal', 'unconcerned']"
Oh No Black Cat,General Public,Absurd,"['cat', 'reaction', 'surprise', 'fear', 'shock', 'disaster', 'animal']"
oh thats a toilet spongebob fish,Millennials,Absurd,"['surprise', 'realization', 'disgust', 'cartoon', 'spongebob', 'mistake']"
Oh yeah  Oh no,Gen Z,Relatable,"['anticipation', 'disappointment', 'reversal', 'realization', 'emotion']"
okay grandpa let s get you to bed,Gen Z,Sarcastic,"['dismissal', 'elderly', 'condescension', 'outdated', 'obsolete']"
Ok ima fight,Gen Z,Witty,"['bravery', 'challenge', 'determination', 'courage', 'conflict']"
old lady at computer,Young Adults,Relatable,"['technology', 'confusion', 'elderly', 'internet', 'learning', 'struggle']"
Old man cup of coffee,General Public,Wholesome,"['contemplation', 'morning', 'relaxation', 'coffee', 'peaceful', 'elderly']"
Old man yells at cloud,Millennials,Sarcastic,"['outrage', 'elderly', 'futility', 'complaint', 'irrational', 'disapproval']"
Oliver Twist Please Sir,General Public,Witty,"['request', 'politeness', 'hunger', 'desire', 'poverty', 'literature']"
Ol  Reliable,Millennials,Relatable,"['trust', 'dependability', 'confidence', 'reliance', 'faith']"
OMG hi,Gen Z,Wholesome,"['greeting', 'enthusiasm', 'excitement', 'surprise', 'friendship']"
One Does Not Simply,Millennials,Witty,"['challenge', 'difficulty', 'task', 'complexity', 'Lord of the Rings']"
One please,General Public,Wholesome,"['request', 'politeness', 'manners', 'order', 'desire']"
Oops  All Berries,Millennials,Absurd,"['mistake', 'surprise', 'cereal', 'overload', 'excess']"
Oprah You Get A,Millennials,Wholesome,"['generosity', 'gift', 'surprise', 'excitement', 'celebrity']"
Orangutan chasing girl on a tricycle,General Public,Absurd,"['chase', 'fear', 'animal', 'surprise', 'panic', 'tricycle']"
orangutan interview,General Public,Absurd,"['interview', 'animal', 'conversation', 'humor', 'silly', 'communication']"
our,General Public,Absurd,"['sharing', 'communism', 'collective', 'misinterpretation', 'community']"
Overly Attached Girlfriend,Young Adults,Sarcastic,"['clingy', 'relationship', 'obsession', 'parody', 'girlfriend']"
Overwatch Mercy Meme,Gamers,Relatable,"['video game', 'rescue', 'healer', 'team', 'support']"
Pablo escobar waiting alone,Young Adults,Relatable,"['loneliness', 'waiting', 'impatient', 'boredom', 'solitude']"
panie areczku,General Public,Absurd,"['Polish', 'misunderstanding', 'confusion', 'language', 'surprise']"
Panik Kalm Panik,Gen Z,Relatable,"['panic', 'calm', 'cycle', 'anxiety', 'emotional rollercoaster']"
party loner,Young Adults,Relatable,"['introvert', 'party', 'alone', 'awkward', 'social']"
Patrick Dunk Meme,Gen Z,Absurd,"['cartoon', 'dunk', 'surprise', 'spongebob', 'rejection']"
patrick scared,Gen Z,Relatable,"['fear', 'cartoon', 'spongebob', 'surprise', 'panic']"
patrick to do list actually blank,Students,Relatable,"['procrastination', 'laziness', 'blank', 'nothing', 'task']"
PAtrick  Smart Dumb,Gen Z,Absurd,"['intelligence', 'dumb', 'spongebob', 'paradox', 'confusion']"
Paulo Coelho,Professionals,Witty,"['quote', 'inspiration', 'wisdom', 'philosophy', 'literature']"
Pawn Stars Best I Can Do,General Public,Sarcastic,"['bargain', 'deal', 'negotiation', 'lowball', 'business']"
Peace sign tombstone,Millennials,Sarcastic,"['death', 'peace', 'farewell', 'irony', 'goodbye']"
Peasants,General Public,Sarcastic,"['class', 'superiority', 'inferiority', 'judgment', 'society']"
